skill,pixel_earning,min_level,vip,landowner,item_name,image_url,frequency
metalworking,40,52,true,true,Irontite Bar,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_Iron_Bar/3635b140-271a-4871-9412-39802884a4b0.png",12
metalworking,20,64,true,true,Adamaxium Bar,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_metalbar_04/b8a8b2f3-857f-4988-98f5-f4d573853fa6.png",51
metalworking,8,41,true,true,Irontite Bar,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_Iron_Bar/3635b140-271a-4871-9412-39802884a4b0.png",534
metalworking,3,21,true,false,Bronzenite Bar,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_metalbar_02/aac83d2f-77bc-46ac-b9f6-a0af7695e924.png",733
mining,30,57,true,true,Bedrock Matrix,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_roughstone_03/3059ed41-3ba2-4cc9-ac41-f67defa774db.png",5
mining,20,70,true,true,Adamaxium Ore,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_metalore_04/1834aa49-1c52-4b9b-94a3-ec41d6c6d003.png",54
mining,20,70,true,true,Claricite Matrix,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_roughstone_04/aae86759-bedd-4e03-aed1-313a5440eb1d.png",59
mining,8,28,true,false,Irontite Ore,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_metalore_03/4ce570dd-f1b4-45ff-9ef8-7631b5f12157.png",1520
mining,6,28,true,false,Bedrock Matrix,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_roughstone_03/3059ed41-3ba2-4cc9-ac41-f67defa774db.png",1459
stoneshaping,100,70,true,true,Claricite Powder,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_stonepowder04/a37eddcb-7c69-484d-885d-56abea332c6d.png",6
stoneshaping,40,55,true,false,Bedrock Powder,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_stonepowder03/da039c9f-07d4-4501-b7b0-088597d9b0e2.png",13
stoneshaping,20,60,true,true,Claricite Brick,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_brick_04/969c19c8-ce62-49d3-8d5d-a3ffa6596431.png",211
stoneshaping,20,64,true,true,Claricite Powder,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_stonepowder04/a37eddcb-7c69-484d-885d-56abea332c6d.png",222
stoneshaping,8,44,true,false,Bedrock Powder,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_stonepowder03/da039c9f-07d4-4501-b7b0-088597d9b0e2.png",671
stoneshaping,6,42,true,false,Bedrock Brick,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_brick_03/3cb8b206-14fb-4355-9853-4a12775d327c.png",671
woodwork,100,70,true,true,Borebranch Plank,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_woodplank_04/35dc743c-9027-4efb-afd4-fd267dee11a6.png",3
woodwork,40,50,true,true,Sawstump Plank,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_woodplank_03/c2519900-db2a-4bd1-8b6e-cf83d9653962.png",9
woodwork,20,64,true,false,Borebranch Plank,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_woodplank_04/35dc743c-9027-4efb-afd4-fd267dee11a6.png",131
woodwork,8,44,true,false,Sawstump Plank,"https://d31ss916pli4td.cloudfront.net/uploadedAssets/i/itm_woodplank_03/c2519900-db2a-4bd1-8b6e-cf83d9653962.png",383
